Species,X,Y,Response
Crotalus triseriatus,-99.188707,19.145885,1
Crotalus triseriatus,-99.188772,19.145825,1
Crotalus triseriatus,-99.695625,19.41745,1
Crotalus triseriatus,-99.162048,19.148277,1
Crotalus triseriatus,-99.218365,19.149295,1
Crotalus triseriatus,-100.03342,19.541011,1
Crotalus triseriatus,-99.170703,19.140195,1
Crotalus triseriatus,-99.749222,19.103587,1
Crotalus triseriatus,-100.236878,19.60802,1
Crotalus triseriatus,-99.173594,19.142752,1
Crotalus triseriatus,-99.306169,19.319756,1
Crotalus triseriatus,-98.733871,19.437301,1
Crotalus triseriatus,-99.274789,19.222783,1
Crotalus triseriatus,-99.483597,19.214832,1
Crotalus triseriatus,-99.258002,19.208335,1
Crotalus triseriatus,-99.58613,19.245942,1
Crotalus triseriatus,-98.744349,19.415691,1
Crotalus triseriatus,-99.203184,19.127133,1
Crotalus triseriatus,-99.21908,19.254836,1
Crotalus triseriatus,-98.655042,19.245368,1
Crotalus triseriatus,-98.655074,19.245393,1
Crotalus triseriatus,-98.601999,19.24811,1
Crotalus triseriatus,-99.169899,19.140114,1
Crotalus triseriatus,-98.686989,19.482827,1
Crotalus triseriatus,-97.314937,18.985657,1
Crotalus triseriatus,-97.212708,19.67839,1
Crotalus triseriatus,-99.225998,19.174375,1
Crotalus triseriatus,-99.39466,19.52272,1
Crotalus triseriatus,-99.265247,19.220257,1
Crotalus triseriatus,-97.216126,19.539375,1
Crotalus triseriatus,-99.329996,19.278906,1
Crotalus triseriatus,-99.275744,19.220711,1
Crotalus triseriatus,-99.256018,19.214673,1
Crotalus triseriatus,-99.319559,19.267958,1
Crotalus triseriatus,-99.256018,19.214673,1
Crotalus triseriatus,-99.256018,19.214673,1
Crotalus triseriatus,-97.206278,19.550469,1
Crotalus triseriatus,-99.262157,19.233674,1
Crotalus triseriatus,-97.224228,19.672762,1
Crotalus triseriatus,-99.168593,19.142992,1
Crotalus triseriatus,-99.339671,19.270899,1
Crotalus triseriatus,-99.351514,19.279464,1
Crotalus triseriatus,-99.193409,19.252423,1
Crotalus triseriatus,-99.303274,19.305815,1
Crotalus triseriatus,-99.328933,19.2916,1
Crotalus triseriatus,-99.7229,19.316589,1
Crotalus triseriatus,-99.26172,19.209537,1
Crotalus triseriatus,-99.712574,19.227699,1
Crotalus triseriatus,-99.258703,19.296233,1
Crotalus triseriatus,-99.698012,19.274875,1
Crotalus triseriatus,-99.22734,19.256269,1
Crotalus triseriatus,-99.647211,19.822635,1
Crotalus triseriatus,-99.041043,19.120372,1
Crotalus triseriatus,-99.284575,19.21699,1
Crotalus triseriatus,-99.271957,19.130761,1
Crotalus triseriatus,-99.289048,19.302899,1
Crotalus triseriatus,-99.263173,19.211642,1
Crotalus triseriatus,-98.651604,19.123088,1
Crotalus triseriatus,-99.319642,19.245305,1
