Species,X,Y,Response
Thamnophis scalaris,-98.654337,19.094386,1
Thamnophis scalaris,-98.710754,19.332615,1
Thamnophis scalaris,-99.173188,19.221208,1
Thamnophis scalaris,-99.178438,19.222033,1
Thamnophis scalaris,-99.569581,19.255469,1
Thamnophis scalaris,-98.647414,19.086361,1
Thamnophis scalaris,-99.162734,19.116841,1
Thamnophis scalaris,-99.175761,19.150759,1
Thamnophis scalaris,-99.597065,19.235263,1
Thamnophis scalaris,-99.216877,19.249962,1
Thamnophis scalaris,-99.281981,19.32198,1
Thamnophis scalaris,-99.282281,19.31083,1
Thamnophis scalaris,-99.317453,19.250013,1
Thamnophis scalaris,-99.282717,19.320958,1
Thamnophis scalaris,-99.217853,19.246976,1
Thamnophis scalaris,-99.184698,19.231943,1
Thamnophis scalaris,-99.713251,19.226131,1
Thamnophis scalaris,-99.32347,19.345763,1
Thamnophis scalaris,-98.966287,19.157024,1
Thamnophis scalaris,-99.3997,19.318617,1
Thamnophis scalaris,-99.399813,19.318857,1
Thamnophis scalaris,-99.602589,19.236575,1
Thamnophis scalaris,-99.281693,19.264231,1
Thamnophis scalaris,-97.263535,19.083236,1
Thamnophis scalaris,-99.310744,19.272975,1
Thamnophis scalaris,-99.186616,19.227688,1
Thamnophis scalaris,-99.401722,19.319804,1
Thamnophis scalaris,-99.316321,19.062484,1
Thamnophis scalaris,-99.216146,19.204811,1
Thamnophis scalaris,-99.60141,19.465779,1
Thamnophis scalaris,-97.161069,19.52416,1
Thamnophis scalaris,-98.805128,19.111518,1
Thamnophis scalaris,-99.262506,19.290359,1
Thamnophis scalaris,-99.401722,19.319804,1
Thamnophis scalaris,-97.10573,19.620996,1
Thamnophis scalaris,-99.283356,19.215376,1
Thamnophis scalaris,-98.108903,19.611922,1
Thamnophis scalaris,-99.700301,19.310551,1
Thamnophis scalaris,-99.216721,19.20607,1
Thamnophis scalaris,-99.271013,19.206091,1
Thamnophis scalaris,-98.210255,19.31695,1
Thamnophis scalaris,-99.277481,19.319768,1
Thamnophis scalaris,-99.60597,19.235865,1
Thamnophis scalaris,-103.703225,20.115308,1
Thamnophis scalaris,-99.18601,19.223648,1
Thamnophis scalaris,-99.712374,19.282571,1
Thamnophis scalaris,-99.504952,19.683804,1
Thamnophis scalaris,-99.736506,19.368885,1
Thamnophis scalaris,-99.514918,19.646808,1
Thamnophis scalaris,-99.514924,19.646798,1
Thamnophis scalaris,-99.514934,19.646823,1
Thamnophis scalaris,-99.51479,19.647045,1
Thamnophis scalaris,-99.425217,19.146158,1
Thamnophis scalaris,-99.511498,19.650935,1
Thamnophis scalaris,-99.434841,19.372134,1
Thamnophis scalaris,-99.548944,19.170603,1
Thamnophis scalaris,-98.213718,19.330902,1
Thamnophis scalaris,-99.714504,19.226361,1
Thamnophis scalaris,-98.213707,19.33087,1
Thamnophis scalaris,-99.216736,19.20533,1
Thamnophis scalaris,-98.665448,19.360243,1
Thamnophis scalaris,-99.218967,19.206014,1
Thamnophis scalaris,-99.995578,19.195493,1
Thamnophis scalaris,-99.364932,19.304077,1
Thamnophis scalaris,-98.966425,19.215299,1
Thamnophis scalaris,-99.702523,19.272044,1
Thamnophis scalaris,-99.270759,19.050777,1
Thamnophis scalaris,-98.562196,19.464443,1
Thamnophis scalaris,-98.219754,19.299805,1
Thamnophis scalaris,-97.105835,19.620417,1
Thamnophis scalaris,-100.043692,19.171582,1
Thamnophis scalaris,-100.043692,19.171582,1
Thamnophis scalaris,-99.217178,19.20578,1
Thamnophis scalaris,-99.579832,19.247956,1
Thamnophis scalaris,-99.238986,19.087739,1
Thamnophis scalaris,-98.760088,19.466253,1
Thamnophis scalaris,-98.724704,19.39394,1
Thamnophis scalaris,-99.710154,19.803518,1
Thamnophis scalaris,-97.221504,19.543093,1
Thamnophis scalaris,-99.699243,19.15072,1
Thamnophis scalaris,-99.330512,19.360184,1
Thamnophis scalaris,-99.1224,19.197533,1
Thamnophis scalaris,-99.361412,19.351458,1
Thamnophis scalaris,-99.332766,19.353371,1
Thamnophis scalaris,-99.700828,19.412636,1
Thamnophis scalaris,-99.510995,19.40962,1
Thamnophis scalaris,-98.3445,19.433359,1
Thamnophis scalaris,-99.285694,19.313624,1
Thamnophis scalaris,-99.285702,19.313614,1
Thamnophis scalaris,-98.189868,19.332415,1
Thamnophis scalaris,-97.990224,19.244047,1
Thamnophis scalaris,-98.348236,19.407345,1
Thamnophis scalaris,-97.487864,19.688379,1
Thamnophis scalaris,-99.408443,19.310532,1
Thamnophis scalaris,-99.194266,19.216218,1
Thamnophis scalaris,-98.221664,19.325989,1
Thamnophis scalaris,-97.224945,18.999214,1
Thamnophis scalaris,-99.215573,19.083098,1
Thamnophis scalaris,-97.26376,19.06154,1
Thamnophis scalaris,-99.95987,19.213842,1
Thamnophis scalaris,-97.919385,19.281748,1
Thamnophis scalaris,-98.227081,19.278452,1
Thamnophis scalaris,-98.227196,19.278517,1
Thamnophis scalaris,-99.696206,19.413678,1
Thamnophis scalaris,-98.227198,19.278413,1
Thamnophis scalaris,-98.714011,19.415223,1
Thamnophis scalaris,-99.4546,19.246606,1
Thamnophis scalaris,-99.736506,19.368885,1
Thamnophis scalaris,-99.530071,19.221127,1
Thamnophis scalaris,-99.401722,19.319804,1
Thamnophis scalaris,-99.674721,19.289444,1
Thamnophis scalaris,-99.541969,19.276147,1
Thamnophis scalaris,-100.051074,19.460159,1
Thamnophis scalaris,-99.08469,19.123178,1
Thamnophis scalaris,-97.235873,19.538052,1
Thamnophis scalaris,-99.215202,19.200317,1
Thamnophis scalaris,-99.317629,19.055985,1
Thamnophis scalaris,-98.239733,19.311722,1
Thamnophis scalaris,-99.400672,19.318283,1
Thamnophis scalaris,-99.401844,19.318547,1
Thamnophis scalaris,-98.813858,19.183542,1
Thamnophis scalaris,-99.400113,19.31815,1
Thamnophis scalaris,-99.214577,19.08224,1
Thamnophis scalaris,-99.399939,19.321175,1
Thamnophis scalaris,-99.402471,19.319561,1
Thamnophis scalaris,-97.962096,19.385798,1
Thamnophis scalaris,-99.240352,19.106646,1
Thamnophis scalaris,-97.112854,19.613039,1
Thamnophis scalaris,-97.269985,19.057216,1
Thamnophis scalaris,-98.648075,19.086338,1
Thamnophis scalaris,-97.109292,19.619669,1
Thamnophis scalaris,-97.980562,19.245238,1
Thamnophis scalaris,-99.20913,19.225814,1
Thamnophis scalaris,-99.208581,19.225087,1
Thamnophis scalaris,-99.319793,19.048667,1
Thamnophis scalaris,-98.017831,19.436839,1
Thamnophis scalaris,-99.698416,19.417305,1
Thamnophis scalaris,-97.108639,19.616806,1
Thamnophis scalaris,-99.360611,19.076242,1
Thamnophis scalaris,-97.108639,19.616806,1
Thamnophis scalaris,-97.108639,19.616806,1
Thamnophis scalaris,-99.459661,19.272695,1
Thamnophis scalaris,-97.990237,19.243684,1
Thamnophis scalaris,-98.959396,19.081101,1
Thamnophis scalaris,-97.913198,19.547998,1
Thamnophis scalaris,-99.688644,19.40845,1
Thamnophis scalaris,-98.620668,19.120077,1
Thamnophis scalaris,-99.88835,19.742833,1
Thamnophis scalaris,-99.878233,19.905333,1
Thamnophis scalaris,-99.878233,19.905333,1
Thamnophis scalaris,-99.88835,19.742833,1
Thamnophis scalaris,-99.888617,19.742867,1
Thamnophis scalaris,-99.888617,19.742867,1
Thamnophis scalaris,-99.803667,19.862883,1
Thamnophis scalaris,-99.803667,19.862883,1
Thamnophis scalaris,-97.198278,19.047,1
Thamnophis scalaris,-97.198278,19.047,1
Thamnophis scalaris,-99.89875,19.744817,1
Thamnophis scalaris,-99.801283,19.8649,1
Thamnophis scalaris,-99.89875,19.744817,1
Thamnophis scalaris,-99.801283,19.8649,1
Thamnophis scalaris,-99.898383,19.743317,1
Thamnophis scalaris,-99.898383,19.743317,1
Thamnophis scalaris,-99.396038,19.309099,1
Thamnophis scalaris,-100.25389,19.53431,1
Thamnophis scalaris,-98.653054,19.079254,1
Thamnophis scalaris,-100.218722,19.498889,1
Thamnophis scalaris,-100.208056,19.506389,1
Thamnophis scalaris,-100.306944,19.405833,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-100.282333,19.392639,1
Thamnophis scalaris,-99.183819,19.099447,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-99.461161,19.271671,1
Thamnophis scalaris,-98.673931,19.288072,1
Thamnophis scalaris,-98.640522,19.084482,1
Thamnophis scalaris,-99.321602,19.050199,1
Speciespoints,-103.9791659,19.90416698,0
Speciespoints,-97.33749893,19.25416695,0
Speciespoints,-97.58749894,18.56250024,0
Speciespoints,-99.17916569,19.72916697,0
Speciespoints,-102.7541659,20.11250032,0
Speciespoints,-97.82916562,18.53750024,0
Speciespoints,-98.52916566,18.87916693,0
Speciespoints,-102.5624992,20.55416701,0
Speciespoints,-103.4791659,20.28750033,0
Speciespoints,-97.56249894,18.22083356,0
Speciespoints,-101.0624991,19.89583365,0
Speciespoints,-97.22916559,18.34583357,0
Speciespoints,-101.4541658,20.47916701,0
Speciespoints,-101.3208325,20.204167,0
Speciespoints,-97.65416561,19.55416696,0
Speciespoints,-101.4291658,20.31250034,0
Speciespoints,-103.6874993,19.42083362,0
Speciespoints,-100.5541658,19.53750029,0
Speciespoints,-103.5874993,19.46250029,0
Speciespoints,-103.9874993,20.54583368,0
Speciespoints,-100.0624991,19.93750032,0
Speciespoints,-98.22916564,19.12083361,0
Speciespoints,-101.0374991,20.60416702,0
Speciespoints,-97.4041656,18.18750022,0
Speciespoints,-104.5958326,19.99583365,0
Speciespoints,-103.3541659,19.50416696,0
Speciespoints,-101.1874991,20.46250034,0
Speciespoints,-99.27083236,19.82916698,0
Speciespoints,-100.0624991,19.98750032,0
Speciespoints,-102.7124992,20.02916699,0
Speciespoints,-102.7208325,20.18750033,0
Speciespoints,-98.30416564,18.77916692,0
Speciespoints,-99.66249905,18.56250024,0
Speciespoints,-103.9541659,20.18750033,0
Speciespoints,-103.2374992,19.48750029,0
Speciespoints,-102.2791659,20.47916701,0
Speciespoints,-97.34583226,18.02916688,0
Speciespoints,-103.4958326,20.01250032,0
Speciespoints,-98.65416566,19.5875003,0
Speciespoints,-101.2374991,19.81250031,0
Speciespoints,-103.6958326,19.55416696,0
Speciespoints,-102.3291659,19.62083363,0
Speciespoints,-103.0874992,19.31250028,0
Speciespoints,-101.6041658,20.13750033,0
Speciespoints,-99.53749904,19.30416695,0
Speciespoints,-102.3208325,20.304167,0
Speciespoints,-102.0291658,20.33750034,0
Speciespoints,-102.9208326,20.72916702,0
Speciespoints,-102.3458325,19.7125003,0
Speciespoints,-102.3208325,19.75416697,0
Speciespoints,-104.7958327,21.03750037,0
Speciespoints,-103.4541659,20.77916703,0
Speciespoints,-99.70416572,19.50416696,0
Speciespoints,-97.22083225,19.22083361,0
Speciespoints,-101.3124991,19.74583364,0
Speciespoints,-104.7458326,20.45416701,0
Speciespoints,-102.8291659,19.84583364,0
Speciespoints,-102.2541659,20.01250032,0
